TextToParse,Address1,Address2,City,State,Zip_Code
"1 BOSTON MEDICAL CTR PL BOSTON MEDICAL CENTER, BOSTON, Massachusetts 02118-2908",1 BOSTON MEDICAL CTR PL,BOSTON MEDICAL CENTER,BOSTON,Massachusetts,02118-2908
"1 GUSTAVE L.LEVY PLACE, NEW YORK, New York 10029-6574",1 GUSTAVE L.LEVY PLACE,,NEW YORK,New York,10029-6574
"1 NE 23RD AVE STE 4, POMPANO BEACH, Florida 33062-5247",1 NE 23RD AVE STE 4,,POMPANO BEACH,Florida,33062-5247
"1 SW 129TH AVE STE 209, PEMBROKE PINES, Florida 33027-1717",1 SW 129TH AVE,STE 209,PEMBROKE PINES,Florida,33027-1717
"1 SW 129TH AVE STE 400, PEMBROKE PINES, Florida 33027-1718",1 SW 129TH AVE,STE 400,PEMBROKE PINES,Florida,33027-1718
"1 SW 129TH AVE SUITE 209, PEMBROKE PINES, Florida 33027",1 SW 129TH AVE,SUITE 209,PEMBROKE PINES,Florida,33027
"1 SW 129TH AVE STE 400, PEMBROKE PINES, Florida 33027-1718",1 SW 129TH AVE STE 400,,PEMBROKE PINES,Florida,33027-1718
"1 SW 129TH AVE STE 401, PEMBROKE PINES, Florida 33027-1718",1 SW 129TH AVE STE 401,,PEMBROKE PINES,Florida,33027-1718
"1 SW 129TH AVE STE 405, PEMBROKE PINES, Florida 33027-1718",1 SW 129TH AVE STE 405,,PEMBROKE PINES,Florida,33027-1718
"1 SW 129TH TH AVE SUITE 209, PEMBROKE PINES, Florida 33027",1 SW 129TH TH AVE,SUITE 209,PEMBROKE PINES,Florida,33027
"1 W SAMPLE RD STE 103, DEERFIELD BEACH, Florida 33064-3547",1 W SAMPLE RD,STE 103,DEERFIELD BEACH,Florida,33064-3547
"1 W SAMPLE RD STE 304, DEERFIELD BEACH, Florida 33064-3547",1 W SAMPLE RD,STE 304,DEERFIELD BEACH,Florida,33064-3547
"100 MADISON AVE, MORRISTOWN, New Jersey 07960-6136",100 MADISON AVE,,MORRISTOWN,New Jersey,07960-6136
"100 N PORTLAND AVE, BROOKLYN, New York 11205",100 N PORTLAND AVE,,BROOKLYN,New York,11205
"100 NE 15 ST STE- 104, HOMESTEAD, Florida 33033",100 NE 15 ST,STE- 104,HOMESTEAD,Florida,33033
"100 NE 15th St Ste 104, Homestead, Florida 33030",100 NE 15th St,Ste 104,Homestead,Florida,33030
"100 NE 15th ST STE 104, HOMESTEAD, Florida 33033",100 NE 15th ST,STE 104,HOMESTEAD,Florida,33033
"100 NW 170 ST STE-410, NORTH MIAMI BEACH, Florida 33169",100 NW 170 ST,STE-410,NORTH MIAMI BEACH,Florida,33169
"100 NW 170 ST # 305, NORTH MIAMI BEACH, Florida 33169",100 NW 170 ST # 305,,NORTH MIAMI BEACH,Florida,33169
"100 NW 170 STREET SUITE 410, NORTH MIAMI BEACH, Florida 33169",100 NW 170 STREET,SUITE 410,NORTH MIAMI BEACH,Florida,33169
"100 NW 170TH ST STE 207, NORTH MIAMI BEACH, Florida 33169-5510",100 NW 170TH ST,STE 207,NORTH MIAMI BEACH,Florida,33169-5510
"100 NW 170TH ST STE 410, N MIAMI BEACH, Florida 33169-5511",100 NW 170TH ST,STE 410,N MIAMI BEACH,Florida,33169-5511
"100 NW 170th St Ste 410, North Miami Beach, Florida 33169-5511",100 NW 170th St,Ste 410,North Miami Beach,Florida,33169-5511
"100 NW 82ND AVE STE 403, PLANTATION, Florida 33324-1835",100 NW 82ND AVE,STE 403,PLANTATION,Florida,33324-1835
"100 NW 82ND AVE STE 405, PLANTATION, Florida 33324-1835",100 NW 82ND AVE,STE 405,PLANTATION,Florida,33324-1835
"100 NW 82ND AVE SUITE 302, PLANTATION, Florida 33324",100 NW 82ND AVE,SUITE 302,PLANTATION,Florida,33324
"100 NW 82ND AVE STE 101-102, PLANTATION, Florida 33324-7809",100 NW 82ND AVE STE 101-102,,PLANTATION,Florida,33324-7809
"100 NW 82ND AVE STE 204-205, PLANTATION, Florida 33324-7809",100 NW 82ND AVE STE 204-205,,PLANTATION,Florida,33324-7809
"1000 N  Hiatus road suite 110, PEMBROKE PINES, Florida 33026",1000 N  Hiatus road suite 110,,PEMBROKE PINES,Florida,33026
"1000 N HIATUS RD STE 140, PEMBROKE PINES, Florida 33026-3094",1000 N HIATUS RD STE 140,,PEMBROKE PINES,Florida,33026-3094
"1000 NE 56TH ST, FORT LAUDERDALE, Florida 33334-4149",1000 NE 56TH ST,,FORT LAUDERDALE,Florida,33334-4149
"10001 TORCHWOOD AVE, Plantation, Florida 33324",10001 TORCHWOOD AVE,,Plantation,Florida,33324
"1001 IVES DAIRY RD STE 206, MIAMI, Florida 33179-2501",1001 IVES DAIRY RD STE 206,,MIAMI,Florida,33179-2501
"1001 N FEDERAL HWY STE 101, HALLANDALE BEACH, Florida 33009-2412",1001 N FEDERAL HWY STE 101,,HALLANDALE BEACH,Florida,33009-2412
"10021 PINES BLVD STE 201, PEMBROKE PINES, Florida 33024-6194",10021 PINES BLVD,STE 201,PEMBROKE PINES,Florida,33024-6194
"1005 E COMERCIAL BLVD, OAKLAND PARK, Florida 33334",1005 E COMERCIAL BLVD,,OAKLAND PARK,Florida,33334
"10064 GRIFFIN RD, COOPER CITY, Florida 33328-3309",10064 GRIFFIN RD,,COOPER CITY,Florida,33328-3309
"10067 PINES BLVD STE B, PEMBROKE PINES, Florida 33024",10067 PINES BLVD STE B,,PEMBROKE PINES,Florida,33024
"10067 PINES BLVD STE B, PEMBROKE PINES, Florida 33024-6136",10067 PINES BLVD STE B,,PEMBROKE PINES,Florida,33024-6136
"10071 PINES BLVD, PEMBROKE PINES, Florida 33024-6181",10071 PINES BLVD,,PEMBROKE PINES,Florida,33024-6181
"10071 PINES BLVD STE C, PEMBROKE PINES, Florida 33024-6183",10071 PINES BLVD,STE C,PEMBROKE PINES,Florida,33024-6183
"10081 PINES BLVD STE B, PEMBROKE PINES, Florida 33024-6171",10081 PINES BLVD,STE B,PEMBROKE PINES,Florida,33024-6171
"10095 NORTH KENDALL DR SUITE 103, MIAMI, Florida 33176",10095 NORTH KENDALL DR,SUITE 103,MIAMI,Florida,33176
"10095 SW 88 ST STE-103, MIAMI, Florida 33176",10095 SW 88 ST,STE-103,MIAMI,Florida,33176
"10095 SW 88th St Ste 103, Miami, Florida 33176-1797",10095 SW 88th St,Ste 103,Miami,Florida,33176-1797
"10095 W OAKLAND PARK BLVD, SUNRISE, Florida 33351-6919",10095 W OAKLAND PARK BLVD,,SUNRISE,Florida,33351-6919
"101 PAGE STREET SOUTHCOAST PHYSICIAN SERVICES, NEW BEDFORD, Massachusetts 02740",101 PAGE STREET SOUTHCOAST PHYSICIAN SERVICES,,NEW BEDFORD,Massachusetts,02740
"10101 FOREST HILL BLVD, WELLINGTON, Florida 33414-6103",10101 FOREST HILL BLVD,,WELLINGTON,Florida,33414-6103
"10101 W FLAGLER ST, MIAMI, Florida 33174-1808",10101 W FLAGLER ST,,MIAMI,Florida,33174-1808
"10111 FOREST HILL BLVD RM 151, WELLINGTON, Florida 33414-6141",10111 FOREST HILL BLVD,RM 151,WELLINGTON,Florida,33414-6141
"10115 Forest Hill Blvd Ste 102, Wellington, Florida 33414",10115 Forest Hill Blvd,Ste 102,Wellington,Florida,33414
"10115 FOREST HILL BLVD STE 102, WELLINGTON, Florida 33414-6178",10115 FOREST HILL BLVD,STE 102,WELLINGTON,Florida,33414-6178
"10115 FOREST HILL BLVD STE 200, WELLINGTON, Florida 33414-3104",10115 FOREST HILL BLVD,STE 200,WELLINGTON,Florida,33414-3104
"10131 FOREST HILL BLVD STE 201, WELLINGTON, Florida 33414-6109",10131 FOREST HILL BLVD,STE 201,WELLINGTON,Florida,33414-6109
"10131 FOREST HILL BLVD STE 206, WELLINGTON, Florida 33414-6109",10131 FOREST HILL BLVD,STE 206,WELLINGTON,Florida,33414-6109
"10131 FOREST HILL BLVD STE 230, WELLINGTON, Florida 33414-6109",10131 FOREST HILL BLVD,STE 230,WELLINGTON,Florida,33414-6109
"10139 NW 31ST ST STE 202, CORAL SPRINGS, Florida 33065-3908",10139 NW 31ST ST,STE 202,CORAL SPRINGS,Florida,33065-3908
"10141 PINES BLVD, PEMBROKE PINES, Florida 33026-3978",10141 PINES BLVD,,PEMBROKE PINES,Florida,33026-3978
"10200 W STATE ROAD 84 STE 220, DAVIE, Florida 33324-4220",10200 W STATE ROAD 84,STE 220,DAVIE,Florida,33324-4220
"10220 W STATE ROAD 84 SUITE 5, DAVIE, Florida 33324",10220 W STATE ROAD 84,SUITE 5,DAVIE,Florida,33324
"10251 SW 72 STREET SUITE 101, MIAMI, Florida 33173",10251 SW 72 STREET,SUITE 101,MIAMI,Florida,33173
"10260 SW 56th St UNIT 102, MIAMI, Florida 33165",10260 SW 56th St UNIT 102,,MIAMI,Florida,33165
"1029 KANE CONCOURSE, BAY HARBOR ISLAND, Florida 33154",1029 KANE CONCOURSE,,BAY HARBOR ISLAND,Florida,33154
"10300 SW 216th St, MIAMI, Florida 33190",10300 SW 216th St,,MIAMI,Florida,33190
"10300 SW 72 ST STE-400, MIAMI, Florida 33173",10300 SW 72 ST,STE-400,MIAMI,Florida,33173
"10300 SW 72nd St Ste 150, Miami, Florida 33173-3001",10300 SW 72nd St,Ste 150,Miami,Florida,33173-3001
"10300 SW 72nd St suite 150, MIAMI, Florida 33173",10300 SW 72nd St,suite 150,MIAMI,Florida,33173
"10305 NW 41ST ST STE 202, DORAL, Florida 33178-2982",10305 NW 41ST ST,STE 202,DORAL,Florida,33178-2982
"103400 OVERSEAS HWY, KEY LARGO, Florida 33037",103400 OVERSEAS HWY,,KEY LARGO,Florida,33037
"1036 NW 1ST AVE, HOMESTEAD, Florida 33030-4417",1036 NW 1ST AVE,,HOMESTEAD,Florida,33030-4417
"10406 TAFT ST, PEMBROKE PINES, Florida 33026-2819",10406 TAFT ST,,PEMBROKE PINES,Florida,33026-2819
"10464 SW 128TH TER, Miami, Florida 33176",10464 SW 128TH TER,,Miami,Florida,33176
"1049 S STATE ROAD 7, WELLINGTON, Florida 33414-6135",1049 S STATE ROAD 7,,WELLINGTON,Florida,33414-6135
"1050 N FEDERAL HWY, HOLLYWOOD, Florida 33020-3540",1050 N FEDERAL HWY,,HOLLYWOOD,Florida,33020-3540
"10535 S DIXIE HIGHWAY, MIAMI, Florida 33156",10535 S DIXIE HIGHWAY,,MIAMI,Florida,33156
"10550 NW 77TH CT STE 405, HIALEAH GARDENS, Florida 33016-2073",10550 NW 77TH CT,STE 405,HIALEAH GARDENS,Florida,33016-2073
"10570 SW 8 ST, MIAMI, Florida 33174",10570 SW 8 ST,,MIAMI,Florida,33174
"10570 SW 8TH ST, MIAMI, Florida 33174-2612",10570 SW 8TH ST,,MIAMI,Florida,33174-2612
"106 SW 16th Ave, Miami, Florida 33135",106 SW 16th Ave,,Miami,Florida,33135
"1060 W 49TH ST, HIALEAH, Florida 33012-3322",1060 W 49TH ST,,HIALEAH,Florida,33012-3322
"10621 N. KENDALL DR # 213, MIAMI, Florida 33176",10621 N. KENDALL DR # 213,,MIAMI,Florida,33176
"1065 NE 125TH ST STE -409, NORTH MIAMI, Florida 33161",1065 NE 125TH ST STE -409,,NORTH MIAMI,Florida,33161
"1065 NE 125TH ST STE 409, NORTH MIAMI, Florida 33161",1065 NE 125TH ST STE 409,,NORTH MIAMI,Florida,33161
"10650 W STATE ROAD 84 STE 204, DAVIE, Florida 33324-4235",10650 W STATE ROAD 84,STE 204,DAVIE,Florida,33324-4235
"10651 SW 88TH ST STE 101, MIAMI, Florida 33176-1573",10651 SW 88TH ST,STE 101,MIAMI,Florida,33176-1573
"10661 SW 88TH STREET SUITE 116, MIAMI, Florida 33176",10661 SW 88TH STREET,SUITE 116,MIAMI,Florida,33176
"10666 FONTAINEBLEAU BLVD, MIAMI, Florida 33172",10666 FONTAINEBLEAU BLVD,,MIAMI,Florida,33172
"10673 N KENDALL DR STE 5C, MIAMI, Florida 33176-1510",10673 N KENDALL DR STE 5C,,MIAMI,Florida,33176-1510
"10691 N Kendall Dr Ste 105, Miami, Florida 33176",10691 N Kendall Dr,Ste 105,Miami,Florida,33176
"10691 SW 88TH STREET SUITE 311, MIAMI, Florida 33176",10691 SW 88TH STREET,SUITE 311,MIAMI,Florida,33176
"10700 CARIBBEAN BLVD STE 302, CUTLER BAY, Florida 33189",10700 CARIBBEAN BLVD,STE 302,CUTLER BAY,Florida,33189
"10700 CARIBBEAN BLVD STE 302, CUTLER BAY, Florida 33189-1230",10700 CARIBBEAN BLVD,STE 302,CUTLER BAY,Florida,33189-1230
"10700 CARIBBEAN BLVD # 302, CUTLER BAY, Florida 33189",10700 CARIBBEAN BLVD # 302,,CUTLER BAY,Florida,33189
"10700 SW 88TH ST STE 300, MIAMI, Florida 33176-1469",10700 SW 88TH ST,STE 300,MIAMI,Florida,33176-1469
"10701 SW 38th St, MIAMI, Florida 33165",10701 SW 38th St,,MIAMI,Florida,33165
"10710 SW 38th St, MIAMI, Florida 33165",10710 SW 38th St,,MIAMI,Florida,33165
"10720 CARIBBEAN BLVD STE # 420, MIAMI, Florida 33189",10720 CARIBBEAN BLVD,STE # 420,MIAMI,Florida,33189
"10720 CARIBBEAN BLVD STE 420, CUTLER, Florida 33189",10720 CARIBBEAN BLVD,STE 420,CUTLER,Florida,33189
"10725 NW 58ST, DORAL, Florida 33178",10725 NW 58ST,,DORAL,Florida,33178
"10794 Pines Blvd Ste 104, Pembroke Pines, Florida 33026-3920",10794 Pines Blvd,Ste 104,Pembroke Pines,Florida,33026-3920
"10794 PINES BLVD STE 205, PEMBROKE PINES, Florida 33026-3920",10794 PINES BLVD,STE 205,PEMBROKE PINES,Florida,33026-3920
"10794 PINES BLVD STE 102, PEMBROKE PINES, Florida 33026-3920",10794 PINES BLVD STE 102,,PEMBROKE PINES,Florida,33026-3920
"10794 PINES BLVD STE 205, PEMBROKE PINES, Florida 33026-3920",10794 PINES BLVD STE 205,,PEMBROKE PINES,Florida,33026-3920
"10794 Pines Boulevard Ste 104, Pembroke Pines, Florida 33026-3920",10794 Pines Boulevard,Ste 104,Pembroke Pines,Florida,33026-3920
